Timestamp,Age,Height,Weight,What are your dietary requirement?,Do you have any allergies?,Are you interested in trying new food?,Chicken Rice,Yong Tau Foo,Hokkien Mee,Char Kway Teow,Laksa,Kaya Toast,Chilli Crab,Dim Sum,Nasi Lemak,Ayam Penyet,Otah,Ice Kachang,Curry Puff,Satay,Chendol,Roti Prata,Tandoori Chicken,Chicken Masala,Fish Head Curry,Naan,French Fries,Fried Chicken,Burgers,Pasta,Chawanmushi,Sashimi,Sushi,Ramen,Miso Soup,Korean BBQ,Age_group
13/09/2022 23:30:46,18.0,175.0,90.0,No Beef,"Prawn, Shellfish, Fish",No,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Young
13/09/2022 23:31:01,18.16,152.0,39.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:31:45,50.0,160.0,52.0,Lactose Intolerance,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
13/09/2022 23:31:52,21.0,157.0,42.0,Halal,None,Yes,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Young
13/09/2022 23:32:00,17.0,164.0,53.0,Lactose Intolerance,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:32:03,18.0,160.0,50.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:32:25,17.0,172.0,110.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:32:40,17.0,163.0,60.0,None,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Young
13/09/2022 23:32:56,56.0,165.0,66.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
13/09/2022 23:33:11,17.0,176.0,76.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:35:39,18.0,178.0,53.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:36:00,18.0,167.0,56.0,No Beef,None,No,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Dislike,Like,Young
13/09/2022 23:37:07,17.0,154.0,40.0,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Dislike,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:37:29,18.0,169.0,56.0,None,None,No,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
13/09/2022 23:37:33,18.0,174.0,65.0,None,"Prawn, Shellfish",Yes,Like,Like,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:38:49,17.0,168.0,54.0,Halal,None,Yes,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Young
13/09/2022 23:41:37,20.0,184.0,70.0,Lactose Intolerance,None,Yes,Like,Dislike,Like,Like,Like,Dislike,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Young
13/09/2022 23:46:32,17.0,176.0,78.0,None,None,No,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Like,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Young
13/09/2022 23:49:56,18.0,160.0,53.0,None,Milk,No,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Like,Young
13/09/2022 23:50:16,48.0,168.0,80.0,None,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Old
13/09/2022 23:52:02,16.0,164.0,47.0,None,None,Yes,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:52:07,17.0,166.0,50.0,None,None,No,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Dislike,Dislike,Like,Dislike,Like,Like,Like,Like,Dislike,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:53:03,17.0,160.0,42.0,None,None,Yes,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Dislike,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:53:52,18.0,155.0,60.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
13/09/2022 23:56:50,24.0,156.0,57.0,No Beef,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Dislike,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Old
13/09/2022 23:59:44,17.0,180.0,72.0,None,None,Yes,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Like,Young
14/09/2022 00:04:12,18.0,170.0,56.0,None,None,Yes,Like,Dislike,Like,Like,Dislike,Like,Like,Like,Like,Like,Dislike,Like,Dislike,Like,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Dislike,Dislike,Dislike,Like,Like,Like,Young
